Date Saved,2025/03/26 11:10:33
Spectral Data 780[nm],0.003340483177

TM-30 Color Vector Graphic,Reference Illuminant x,Reference Illuminant y,Measured Illuminant x,Measured Illuminant y
bin1,0.9777567,0.2097421,0.9100819,0.1897117
bin2,0.8184084,0.5746369,0.780341,0.5618533
bin3,0.5742992,0.8186455,0.5434315,0.7957566
bin4,0.1648638,0.9863163,0.1689308,0.9616963
bin5,-0.09189822,0.9957684,-0.07277473,0.9632626
bin6,-0.493385,0.8698111,-0.4658226,0.8467981
bin7,-0.8245407,0.5658026,-0.7818828,0.5450066
bin8,-0.9954275,0.09552046,-0.9473474,0.07971729
bin9,-0.9821982,-0.1878477,-0.9398504,-0.2203534
bin10,-0.861255,-0.5081729,-0.8252903,-0.532194
bin11,-0.5918413,-0.8060545,-0.5801561,-0.8214172
bin12,-0.1738247,-0.9847766,-0.2141086,-0.9867609
bin13,0.1387006,-0.9903343,0.05639529,-1.009426
bin14,0.5784277,-0.8157337,0.5023997,-0.8419402
bin15,0.8338822,-0.5519424,0.7296183,-0.6380942
bin16,0.9868921,-0.1613813,0.933429,-0.178518
